dataset, similarity_method, auc_10_mean, auc_10_sd, pr_10_mean, pr_10_sd, 
netscience, adamic_adar, 0.939598540146, 0.0103693960914, 0.671167883212, 0.0217421474578, 
netscience, lowmem_katz_index, 0.939598540146, 0.00967153284677, 0.346350364964, 0.0163583465921, 
netscience, resource_allocation, 0.936131386861, 0.00765553903767, 0.691240875912, 0.0129754663025, 
netscience, sorensen_index, 0.938503649635, 0.00944860836937, 0.218248175182, 0.0190900683657, 
netscience, jaccard_index, 0.936861313869, 0.0114018243443, 0.496715328467, 0.0281495477345, 
netscience, preferential_attachment, 0.631569343066, 0.02981162107, 0.0397810218978, 0.0114775074405, 
geom, hub_promoted, 0.887384356602, 0.0043000245689, 0.0295206055509, 0.00440966416447, 
geom, salton_index, 0.889402859546, 0.00945939602972, 0.180319596299, 0.00540104099507, 
geom, common_neighbors, 0.887678721615, 0.00688795644798, 0.170815811606, 0.0118968185418, 
geom, leicht_holme_newman, 0.887510513036, 0.00354960954929, 0.0606391925988, 0.00775813633412, 
geom, hub_depressed, 0.886038687973, 0.00484604214988, 0.183683767872, 0.0096569891299, 
geom, adamic_adar, 0.890454163162, 0.010047294967, 0.347939444912, 0.0124636200547, 
geom, lowmem_katz_index, 0.897981497056, 0.00660687238967, 0.0891505466779, 0.00742788971095, 
geom, resource_allocation, 0.889024390244, 0.0053802099593, 0.420185029437, 0.00958346141867, 
geom, sorensen_index, 0.887258200168, 0.00561502432736, 0.0619007569386, 0.00613673216047, 
geom, jaccard_index, 0.888393608074, 0.00574192739738, 0.176030277544, 0.010810264271, 
geom, preferential_attachment, 0.692977291842, 0.0148241414905, 0.0368376787216, 0.00475468259885, 
hep-th, hub_promoted, 0.890793650794, 0.00532349811197, 0.0655873015873, 0.00631769960462, 
hep-th, salton_index, 0.890317460317, 0.00714849865392, 0.155809523809, 0.00434538123989, 
hep-th, common_neighbors, 0.888380952381, 0.00532766138304, 0.223301587302, 0.00882539682541, 
hep-th, leicht_holme_newman, 0.892, 0.00577708002055, 0.0728253968254, 0.00443581929517, 
hep-th, hub_depressed, 0.890031746032, 0.00443581929504, 0.158603174603, 0.00765494190371, 
hep-th, adamic_adar, 0.890603174603, 0.00783580556337, 0.350095238095, 0.00864145411091, 
hep-th, lowmem_katz_index, 0.905015873016, 0.00332591767724, 0.125714285714, 0.0083269060625, 
hep-th, resource_allocation, 0.888698412698, 0.00451463843399, 0.359746031746, 0.00991452510276, 
hep-th, sorensen_index, 0.889650793651, 0.00471767821911, 0.0700317460317, 0.00404609370575, 
hep-th, jaccard_index, 0.89126984127, 0.00475184121793, 0.15853968254, 0.00823954784279, 
hep-th, preferential_attachment, 0.714634920635, 0.00933835303954, 0.00450793650794, 0.00128404751849, 
power, hub_promoted, 0.587936267071, 0.00642412347818, 0.00940819423369, 0.00483683685903, 
power, salton_index, 0.587253414264, 0.00603174716664, 0.0110773899848, 0.0031135484869, 
power, common_neighbors, 0.588998482549, 0.00565797517071, 0.044157814871, 0.0106319053448, 
power, leicht_holme_newman, 0.59028831563, 0.00547124624496, 0.00440060698027, 0.00229631956759, 
power, hub_depressed, 0.588391502276, 0.00624048710623, 0.0104704097117, 0.00355550061118, 
power, adamic_adar, 0.588998482549, 0.00764808692704, 0.0292867981791, 0.0051257498495, 
power, lowmem_katz_index, 0.639757207891, 0.00685209220333, 0.038846737481, 0.00440844887597, 
power, resource_allocation, 0.586949924127, 0.0092065622532, 0.0227617602428, 0.00401479713363, 
power, sorensen_index, 0.589301972686, 0.00623864189987, 0.00440060698027, 0.00143156011109, 
power, jaccard_index, 0.587329286798, 0.00643307821272, 0.00895295902884, 0.00172349266944, 
power, preferential_attachment, 0.434142640364, 0.0140755309562, 0.000455235204855, 0.000695383261752, 
